Year   Moose  Wolves
 1959  696   20
 1960  680   27
 1961  678   32
 1962  625   34
 1963  596   35
 1964  593   34
 1965  532   32
 1966  480   30
 1967  382   29
 1968  304   27
 1969  217   22
 1970  136   17
 1971   64   14
 1972   24   12
 1973   28    9
 1974    6    7
 1975    0    5
 1976    0    3
 1977    0    2
 1978    0    1
 1979    0    1
 1980    0    0
 1981    0    0
 1982    0    0
 1983    0    0
 1984    0    0
 1985    0    0
 1986    0    0
 1987    0    0
 1988    0    0
 1989    0    0
 1990    0    0
 1991    0    0
 1992    0    0
 1993    0    0
 1994    0    0
 1995    0    0
 1996    0    0
 1997    0    0
 1998    0    0
 1999    0    0
 2000    0    0
 2001    0    0
 2002    0    0
 2003    0    0
 2004    0    0
 2005    0    0
 2006    0    0
 2007    0    0
 2008    0    0
 2009    0    0
 2010    0    0
 2011    0    0
 2012    0    0
 2013    0    0
 2014    0    0
 2015    0    0
 2016    0    0
 2017    0    0
 2018    0    0
