Year   Moose  Wolves
 1959  682   20
 1960  610   23
 1961  511   28
 1962  429   27
 1963  382   29
 1964  288   33
 1965  251   33
 1966  181   28
 1967  107   27
 1968   53   25
 1969   75   24
 1970   23   19
 1971    5   19
 1972    7   13
 1973    0   10
 1974    0    7
 1975    0    6
 1976    0    6
 1977    0    5
 1978    0    4
 1979    0    3
 1980    0    2
 1981    0    1
 1982    0    0
 1983    0    0
 1984    0    0
 1985    0    0
 1986    0    0
 1987    0    0
 1988    0    0
 1989    0    0
 1990    0    0
 1991    0    0
 1992    0    0
 1993    0    0
 1994    0    0
 1995    0    0
 1996    0    0
 1997    0    0
 1998    0    0
 1999    0    0
 2000    0    0
 2001    0    0
 2002    0    0
 2003    0    0
 2004    0    0
 2005    0    0
 2006    0    0
 2007    0    0
 2008    0    0
 2009    0    0
 2010    0    0
 2011    0    0
 2012    0    0
 2013    0    0
 2014    0    0
 2015    0    0
 2016    0    0
 2017    0    0
 2018    0    0
